,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,team_name,team_id,position
0,75.0,75.0,226597,0,0,2,-2,2,2,3.6,3.6,0,Gabriel,3.8,3,True,Muscle injury - 75% chance of playing,2024-11-27T10:30:06.325759Z,62,226597.jpg,4.6,dos Santos Magalhães,23.5,False,,d,1,3,60,2873701,28887,1864316,133715,0.6,9.7,Gabriel,30.0,1088,3,1,4,13,0,0,0,1,0,0,4,210,313.4,68.2,215.0,59.7,13,1.76,0.5,2.26,12.5,46,14,216,55,58,2,85,14,,,,,,,0.15,0.0,0.04,0.19,1.03,1.08,66,3,76,17,31,4,13,5,1.08,0.33,5,1350,1375,1360,1360,1340,1390,Arsenal,1,DEF
1,100.0,100.0,445122,0,0,1,-1,1,2,6.8,6.8,2,Jurriën,5.8,6,False,,2024-10-04T13:30:05.569185Z,56,445122.jpg,3.6,Timber,5.7,False,,a,1,3,47,752863,73149,259258,8223,1.0,8.4,J.Timber,152.0,1040,1,1,4,10,0,0,0,3,0,0,2,167,178.0,168.8,139.0,48.3,12,0.67,0.46,1.13,10.05,170,67,101,21,103,9,128,33,,,,,,,0.06,0.0,0.04,0.1,0.87,0.87,102,11,16,5,70,14,68,24,1.04,0.35,5,1350,1375,1360,1360,1340,1390,Arsenal,1,DEF
2,,,440854,0,0,-2,2,0,2,3.5,3.5,2,Jakub,2.5,8,False,,,48,440854.jpg,1.6,Kiwior,0.2,False,,a,1,3,13,13428,2015,19514,397,0.5,2.7,Kiwior,172.0,323,0,0,1,5,0,0,0,0,0,0,0,39,49.2,13.7,0.0,6.3,2,0.0,0.03,0.03,4.45,338,117,346,112,639,228,376,124,,,,,,,0.0,0.0,0.01,0.01,1.24,1.39,315,38,124,29,305,97,374,134,0.56,0.28,5,1350,1375,1360,1360,1340,1390,Arsenal,1,DEF
3,100.0,100.0,462424,1,-1,2,-2,2,2,9.0,9.0,9,William,8.0,18,False,,2024-10-19T19:30:06.564445Z,62,462424.jpg,3.9,Saliba,27.1,False,,a,1,3,55,1467836,218920,2792549,8242,1.3,8.9,Saliba,73.0,1199,2,0,5,13,0,0,0,2,1,0,5,228,292.2,43.6,83.0,42.1,14,1.88,0.62,2.5,11.54,61,20,276,78,170,34,147,38,,,,,,,0.14,0.0,0.05,0.19,0.87,0.98,71,4,6,1,60,9,9,2,1.05,0.38,5,1350,1375,1360,1360,1340,1390,Arsenal,1,DEF
4,0.0,0.0,198869,0,0,-4,4,0,2,0.0,0.0,0,Benjamin,0.0,24,False,Knee injury - Unknown return date,2024-11-14T13:00:07.861117Z,61,198869.jpg,3.0,White,2.6,False,,i,1,3,27,145075,91,935420,7267,0.0,4.4,White,241.0,694,0,1,3,7,0,0,0,2,0,0,0,112,128.4,55.3,29.0,21.3,7,0.13,0.32,0.45,9.87,227,86,250,67,283,88,269,87,,,,,,,0.02,0.0,0.04,0.06,1.28,0.91,74,5,681,230,123,33,118,49,0.91,0.39,5,1350,1375,1360,1360,1340,1390,Arsenal,1,DEF
5,75.0,100.0,206325,0,0,-2,2,0,2,2.1,2.8,0,Oleksandr,1.8,25,False,Knock - 75% chance of playing,2024-12-09T09:30:06.099861Z,48,206325.jpg,2.5,Zinchenko,1.0,False,,d,1,3,15,87222,1083,290046,2391,0.4,3.1,Zinchenko,225.0,234,0,0,2,0,0,0,0,1,0,0,0,60,22.2,23.2,21.0,6.7,2,0.06,0.08,0.14,1.73,388,136,319,103,298,95,371,121,,,,,,,0.02,0.0,0.03,0.05,0.67,0.0,301,34,184,55,171,50,204,82,0.77,0.77,5,1350,1375,1360,1360,1340,1390,Arsenal,1,DEF
6,75.0,75.0,466075,0,0,-2,2,1,2,1.9,1.9,0,Riccardo,1.5,578,False,Knock - 75% chance of playing,2024-12-05T01:00:08.685840Z,58,466075.jpg,2.5,Calafiori,1.4,False,,d,1,3,20,194227,252,345682,5081,0.3,3.4,Calafiori,106.0,505,1,0,1,8,0,0,0,1,0,0,1,77,137.8,46.3,111.0,29.4,6,0.55,0.43,0.98,5.93,212,82,271,75,134,17,222,68,,,,,,,0.1,0.0,0.08,0.18,1.06,1.43,90,8,217,64,182,52,183,75,1.07,0.18,5,1350,1375,1360,1360,1340,1390,Arsenal,1,DEF
7,100.0,100.0,199796,0,0,-1,1,0,2,2.0,2.5,0,Matty,2.0,32,False,,2024-11-04T00:00:07.281139Z,44,199796.jpg,2.3,Cash,1.5,False,,a,2,7,21,131975,2460,289826,6144,0.5,4.8,Cash,172.0,650,1,0,1,8,0,0,0,3,0,0,0,82,135.4,38.7,32.0,20.6,8,0.05,0.18,0.23,8.14,215,83,286,83,265,81,272,88,,,,,,,0.01,0.0,0.02,0.03,1.13,1.11,485,95,159,45,204,60,171,69,1.11,0.14,3,1160,1220,1120,1140,1200,1300,Aston Villa,2,DEF
8,100.0,100.0,165659,0,0,0,0,0,2,1.8,2.3,7,Diego Carlos,1.8,35,False,,2024-09-25T21:30:06.256588Z,45,165659.jpg,2.4,Santos Silva,0.5,False,,a,2,7,19,43426,1976,65759,781,0.4,4.2,Diego Carlos,30.0,648,0,0,2,11,0,0,0,1,0,0,1,58,104.4,7.4,52.0,16.5,6,0.64,0.06,0.7,8.97,256,97,377,124,225,66,303,98,,,,,,,0.09,0.0,0.01,0.1,1.25,1.53,366,59,180,52,185,54,264,97,0.83,0.28,3,1160,1220,1120,1140,1200,1300,Aston Villa,2,DEF
9,,,101188,0,0,2,-2,2,2,1.2,1.7,1,Lucas,1.2,36,False,,,47,101188.jpg,2.8,Digne,10.0,False,,a,2,7,42,1485548,8611,708665,42815,0.3,8.9,Digne,73.0,1073,0,3,2,18,0,0,0,3,0,0,6,190,258.0,344.8,73.0,67.7,13,0.54,2.3,2.84,13.78,89,31,26,4,191,44,63,9,2.0,,2.0,,,,0.05,0.0,0.19,0.24,1.16,1.51,325,40,231,70,141,38,39,13,1.09,0.17,3,1160,1220,1120,1140,1200,1300,Aston Villa,2,DEF
