,position,total_points,transfers_change,selected,was_home,teamsStrDiff,lag_influence,lag_creativity,lag_threat,clean_sheets
29926,GK,2,0,1510016,True,145.0,0.0,0.0,0.0,0
30566,GK,6,-46452,1625661,False,230.0,12.6,0.0,0.0,1
31184,GK,1,-23232,1657162,True,130.0,15.4,0.0,0.0,0
31874,GK,2,-97431,1577658,True,25.0,12.2,0.0,0.0,0
38495,GK,6,-10715,789227,False,170.0,0.0,0.0,0.0,1
50166,GK,3,5156,619287,True,65.0,0.0,0.0,0.0,0
279,MID,2,0,18521,True,-80.0,0.0,0.0,0.0,0
30004,MID,2,0,18521,True,-60.0,8.8,34.4,25.0,0
911,MID,2,-952,21324,False,-60.0,8.8,34.4,25.0,0
30636,MID,2,-952,21324,False,25.0,0.6,15.0,8.0,0
1540,MID,2,-2223,20102,True,-5.0,0.6,15.0,8.0,0
31265,MID,2,-2223,20102,True,-35.0,20.6,14.4,45.0,0
2234,MID,8,458,21814,False,70.0,20.6,14.4,45.0,0
31959,MID,8,458,21814,False,30.0,45.6,22.3,87.0,0
2942,MID,2,-1757,21531,True,-270.0,45.6,22.3,87.0,0
32667,MID,2,-1757,21531,True,-230.0,10.8,21.7,2.0,0
3659,MID,7,1890,24242,False,0.0,10.8,21.7,2.0,0
33384,MID,7,1890,24242,False,-20.0,33.8,19.0,27.0,0
4415,MID,4,62378,94777,True,5.0,33.8,19.0,27.0,0
34140,MID,4,62378,94777,True,-220.0,13.4,41.3,39.0,0
5187,MID,8,6918,99354,True,-5.0,13.4,41.3,39.0,1
34912,MID,8,6918,99354,True,-40.0,45.4,28.2,74.0,1
5915,MID,2,-8458,90741,False,-140.0,45.4,28.2,74.0,0
35640,MID,2,-8458,90741,False,-5.0,16.6,3.0,0.0,0
6646,MID,3,-16282,74587,False,0.0,16.6,3.0,0.0,1
36371,MID,3,-16282,74587,False,-5.0,7.0,12.8,18.0,1
7378,MID,1,2244,78344,True,-115.0,7.0,12.8,18.0,0
37103,MID,1,2244,78344,True,-120.0,0.0,2.9,23.0,0
8118,MID,11,-14998,62832,False,30.0,0.0,2.9,23.0,0
37843,MID,11,-14998,62832,False,40.0,35.0,3.2,21.0,0
8861,MID,1,17743,83493,True,-125.0,35.0,3.2,21.0,0
38586,MID,1,17743,83493,True,-165.0,4.0,33.7,15.0,0
9612,MID,3,9460,93186,False,35.0,4.0,33.7,15.0,1
39337,MID,3,9460,93186,False,45.0,10.8,13.6,4.0,1
10365,MID,9,-7637,85295,True,-185.0,10.8,13.6,4.0,1
40090,MID,9,-7637,85295,True,-205.0,41.6,22.9,32.0,1
11123,MID,10,14937,101460,True,-95.0,41.6,22.9,32.0,1
40848,MID,10,14937,101460,True,-45.0,37.2,4.4,27.0,1
